r2,mae,correlation,p_value,n_features_available,n_features_selected,Configuration,Description,Improvement_vs_Baseline,Improvement_Pct,p_value_vs_baseline
0.24656929214800105,0.22466790198365333,0.49783278265070147,0.0014707712084537608,69,15,No Sleep-Stage HRV,Remove sleep-stage-specific HRV,0.012037717823413674,5.1326640594471495,0.721871936112308
0.23519928870190943,0.22659774991573048,0.4857767471531402,0.00198955849569188,102,15,No Age Normalization,Remove age-normalized HRV features,0.0006677143773220484,0.28470127284352087,0.9873085786896856
0.23453157432458738,0.22652743036545955,0.48433369051381814,0.0020613262636019498,105,15,Full Model,All available features,0.0,0.0,
0.15409888981119002,0.24810428575339785,0.3931203449854151,0.014621948723026438,30,15,ECG Only,Only ECG signal features + demographics,-0.08043268451339736,-34.295034579045634,0.04634439587006611
0.10918616948278859,0.25582133129514956,0.35893938513618345,0.026892856172135965,6,6,Demographics Only,"Only demographic features (age, height, weight)",-0.1253454048417988,-53.445002108041564,0.1098653446903084
0.09305867336657692,0.2561079735823703,0.3283723025199131,0.04413529347666169,85,15,No Clinical,Remove clinical blood/metabolic features,-0.14147290095801046,-60.321473287948244,0.00819666179934452
0.05169947456271029,0.2634239465354719,0.23999540805231906,0.14669109764715368,27,15,Clinical Only,Only clinical measurements + demographics,-0.1828320997618771,-77.95628383444901,0.01587684518857346
0.04037571863478839,0.2561592015186287,0.24387395006628942,0.1400773820357323,81,15,No ECG,Remove all ECG features,-0.19415585568979898,-82.78452751998793,0.04077374780466452
-0.0028008804776007423,0.26807422028159267,0.19239675657844119,0.2471720998429373,9,9,Only Age-Normalized + Demographics,Age-normalized HRV + demographics only,-0.23733245480218812,-101.19424452151775,0.012222530877900532
-0.004118342995651281,0.26733336634957794,0.13856470336026352,0.4067368647462091,42,15,HRV Only,Only HRV features + demographics,-0.23864991732023866,-101.75598659050979,0.010799017089711255
-0.015976412237744153,0.2728911443952111,0.12051492150043945,0.471081587457846,18,15,Only Rapid Sleep HRV,Only Rapid Sleep HRV features + demographics,-0.25050798656233153,-106.81205176051608,0.0032016263833914596
-0.025346753587489834,0.2696528230575337,0.09627831211733538,0.5652832084541329,18,15,Only Deep Sleep HRV,Only Deep Sleep HRV features + demographics,-0.2598783279120772,-110.80739497889968,0.006781931748003915
-0.030444964655783613,0.26967340347624646,0.07389144326978858,0.6592961917709824,18,15,Only REM HRV,Only REM HRV features + demographics,-0.264976538980371,-112.98117950363833,0.009810183561317083
