r2,mae,correlation,p_value,n_features_available,n_features_selected,Configuration,Description,Improvement_vs_Baseline,Improvement_Pct,p_value_vs_baseline
0.2998540505044712,0.13702523392093408,0.5494122356787728,0.0020222616579862493,69,15,No Sleep-Stage HRV,Remove sleep-stage-specific HRV,0.06550879664736986,27.953967733144573,0.7636266035352186
0.29821875160585876,0.13262522429788126,0.5472108241081242,0.00212578722789079,27,15,Clinical Only,Only clinical measurements + demographics,0.06387349774875739,27.256151638430904,0.43031064399194385
0.28443563148664486,0.13724692808237568,0.5358955911049359,0.00273330385250888,102,15,No Age Normalization,Remove age-normalized HRV features,0.05009037762954349,21.374607253658105,0.757976277466818
0.23434525385710137,0.1391286861086722,0.48913374317336655,0.007086548000061195,81,15,No ECG,Remove all ECG features,0.0,0.0,
0.23434525385710137,0.1391286861086722,0.48913374317336655,0.007086548000061195,105,15,Full Model,All available features,0.0,0.0,
0.18615511388516426,0.14766432415226563,0.43535097101583853,0.018254299593957003,85,15,No Clinical,Remove clinical blood/metabolic features,-0.04819013997193711,-20.56373627320074,0.43417568007227714
0.1440664759467979,0.1542089452464547,0.3814462447285111,0.04117893731284385,30,15,ECG Only,Only ECG signal features + demographics,-0.09027877791030348,-38.52383456647836,0.3162468628938649
0.10607904904551446,0.16020912595695444,0.3350643123212388,0.07560584014025558,6,6,Demographics Only,"Only demographic features (age, height, weight)",-0.1282662048115869,-54.73386070357578,0.12414196793461676
0.05594722603295921,0.16468990542253648,0.2654278289565491,0.16404136977293368,9,9,Only Age-Normalized + Demographics,Age-normalized HRV + demographics only,-0.17839802782414216,-76.12615356525436,0.047684109182125366
0.029391121723222002,0.16431504240200762,0.20849670297342401,0.27775153826916127,18,15,Only REM HRV,Only REM HRV features + demographics,-0.20495413213387936,-87.45819629820876,0.061055186198311205
0.021226880926407676,0.16572768148979508,0.22196803338149607,0.24716521187239693,18,15,Only Rapid Sleep HRV,Only Rapid Sleep HRV features + demographics,-0.2131183729306937,-90.94204786440805,0.04491478448985091
0.009039221757821458,0.16593620048449922,0.20480497228465763,0.2865398736803796,42,15,HRV Only,Only HRV features + demographics,-0.2253060320992799,-96.14277583648723,0.0519591212712871
0.0024643106520997327,0.1689718273021324,0.167140472341502,0.386157740928797,18,15,Only Deep Sleep HRV,Only Deep Sleep HRV features + demographics,-0.23188094320500163,-98.9484273261184,0.03337761415542429
