r2,mae,correlation,p_value,n_features_available,n_features_selected,Configuration,Delta_R²
0.10982483769088325,0.2557476846612405,0.3595962583579898,0.02659483633480806,6,6,Demographics Only,4.857400989235824
0.10965156343601745,0.25579962585826316,0.3409097362863238,0.03621460063707464,30,15,ECG Only,4.857227714980958
0.038504427856725254,0.2624462123082074,0.2703650923153097,0.10065125990776361,74,15,No Clinical,4.786080579401666
-0.0030140862102172594,0.26788512238717516,0.1916200725283065,0.2491218768483513,9,9,Only Age-Normalized + Demographics,4.744562065334724
-0.01317855969059023,0.26840991311034507,0.11939581450514872,0.47524010938487377,18,15,Only Deep Sleep HRV,4.73439759185435
-0.01608810821415463,0.2732047198020241,0.12276908404673914,0.46276398125608986,18,15,Only Rapid Sleep HRV,4.731488043330786
-0.048670475156914694,0.2718229334215122,0.0742886619097767,0.6575764396243812,42,15,HRV Only,4.698905676388026
-0.04903261482710608,0.2716973845392964,0.04854257064507547,0.7722668094809839,18,15,Only REM HRV,4.6985435367178345
-4.747576151544941,0.3603500409193929,0.25468287442082044,0.12280737746995557,94,15,Full Model,0.0
-5.822852157845557,0.3736177186147744,0.2499717495064709,0.13012747388103763,91,15,No Age Normalization,-1.0752760063006166
-6.615370217283926,0.3744904187871377,0.25757796238047403,0.11846447116174708,58,15,No Sleep-Stage HRV,-1.8677940657389858
-7.938761869999565,0.4190332705197351,0.20853671804175866,0.2089593502103093,70,15,No ECG,-3.1911857184546246
-8.447115753582278,0.41902738976371595,0.21656564962744135,0.19156389021475745,27,15,Clinical Only,-3.699539602037337
