r2,mae,correlation,p_value,n_features_available,n_features_selected,Configuration,Delta_R²
0.16349984522856342,0.14774493359848978,0.4257666792172353,0.021290356567082527,27,15,Clinical Only,0.1989032995807931
0.047608671232643895,0.1571355314421552,0.3124662659825685,0.09888485623946643,70,15,No ECG,0.08301212558487359
0.014282005329489644,0.16743275832603077,0.24256587996461207,0.2048570150781026,6,6,Demographics Only,0.049685459681719335
-0.013939395757928796,0.17105503561564397,0.18804553805355723,0.3286366574653946,9,9,Only Age-Normalized + Demographics,0.021464058594300894
-0.02955658497060254,0.16982920179293787,0.24397502520265393,0.20215687308553254,58,15,No Sleep-Stage HRV,0.005846869381627151
-0.03540345435222969,0.16893740458411344,0.21906563945089447,0.25355873291509773,94,15,Full Model,0.0
-0.06664383121665463,0.1726144761311695,0.088100220814543,0.6495045572133549,18,15,Only REM HRV,-0.031240376864424935
-0.07838889710155628,0.17442468619425416,0.09647791731585008,0.6185827438515294,42,15,HRV Only,-0.042985442749326586
-0.08441611959235162,0.1741982798502622,0.10845622344874614,0.5754658308053546,18,15,Only Rapid Sleep HRV,-0.04901266524012193
-0.10184266203589609,0.17776208625437093,0.0417399719910911,0.8297807729925254,18,15,Only Deep Sleep HRV,-0.0664392076836664
-0.15481470663606767,0.1809314024714401,0.11990864328698633,0.535543630600299,91,15,No Age Normalization,-0.11941125228383798
-0.2929634234594356,0.19176520170811423,-0.06879993515391289,0.7228725050267012,74,15,No Clinical,-0.2575599691072059
-2.818670734526651,0.23641515914481936,-0.22964628704582205,0.2307683024054066,30,15,ECG Only,-2.7832672801744214
