Model,R²,MAE,RMSE,Correlation,p-value,Predictions
Naive (Mean),-0.05478451424397357,0.28666311222117036,0.3323682073613664,-0.9999999999999999,0.0,"[2.15661081 2.1713593  2.15073188 2.14490495 2.16189437 2.15817049
 2.1700822  2.17363182 2.16481029 2.16846817 2.16447032 2.1515572
 2.161287   2.17224552 2.17050123 2.14934557 2.17411019 2.161287
 2.161287   2.17224552 2.17611311 2.15635939 2.16011173 2.1515572
 2.17316177 2.16657739 2.14802692 2.15635939 2.15982572 2.16966956
 2.15442807 2.15790421 2.16481029 2.17316177 2.15032848 2.14934557
 2.16585663 2.17224552]"
Naive (Median),-0.06634501568832918,0.28969687947008294,0.33418463162327017,-0.8604505586268522,4.3687323657001815e-12,"[2.17475172 2.19722458 2.17475172 2.17475172 2.19722458 2.17475172
 2.19722458 2.19722458 2.19722458 2.19722458 2.19722458 2.17475172
 2.17475172 2.19722458 2.19722458 2.17475172 2.19722458 2.17475172
 2.17475172 2.19722458 2.19722458 2.17475172 2.17475172 2.17475172
 2.19722458 2.19722458 2.17475172 2.17475172 2.17475172 2.19722458
 2.17475172 2.17475172 2.19722458 2.19722458 2.17475172 2.17475172
 2.19722458 2.19722458]"
Linear Regression,-1.860569492981416,0.31594442952624513,0.5473484007906806,0.27335213815819154,0.09680131744547903,"[2.33228357 2.2836077  2.45788495 2.04292777 4.87736414 2.89108352
 1.86645754 1.94520782 2.01661881 2.0414304  1.99649065 2.57924296
 1.71374855 1.98986028 1.91473375 2.2728704  1.78767742 2.37317288
 2.10046221 1.81082792 2.27877922 2.19592222 2.21232365 2.42362222
 1.85082238 2.37184334 2.10967075 3.01681329 2.42749462 1.85538041
 2.69572907 2.15670537 1.55624941 1.81498866 2.1365642  2.25601671
 2.17774148 2.35175262]"
Ridge (α=1.0),0.04102622926874555,0.25606345454224444,0.3169136654488705,0.40787763263061266,0.011023347036931452,"[2.07251911 2.20763441 2.24107716 2.02352769 2.31227829 2.68548352
 2.05030035 1.88867061 1.94978119 2.09472427 1.97980007 2.4468553
 2.26851569 2.09337993 2.15270753 2.2437593  1.78394256 2.43853465
 2.19441398 1.84699976 2.1242238  2.04170434 2.21327881 2.56491903
 1.80931676 1.96767335 1.91807672 2.76238123 2.39313967 2.14094023
 2.65855168 2.01080147 1.68436358 1.96649261 2.17704045 2.21760171
 2.23749802 2.31336951]"
Ridge (α=0.1),0.06718805436019826,0.24927835012198918,0.3125609021210081,0.4478073795419884,0.004813896817175115,"[2.17094696 2.22938006 2.32953538 2.03476688 2.34397407 2.75681549
 1.97682601 1.91130413 1.97978188 2.07646773 1.98628495 2.51025969
 2.08924858 2.05200694 2.06098186 2.25565002 1.77931942 2.40947652
 2.15332214 1.83506095 2.18710427 2.10674365 2.21254262 2.51413751
 1.82572446 2.10414932 1.98158092 2.88788753 2.40704518 2.06479451
 2.67092818 2.05330985 1.60416163 1.913717   2.15827162 2.23678798
 2.21427873 2.318042  ]"
Lasso (α=0.1),0.0257846330131577,0.2677877717931758,0.3194221952160902,0.16200484907435603,0.3311780731869051,"[2.15248924 2.21265038 2.18387449 2.06185681 2.16392009 2.09452949
 2.16132941 2.11802575 2.10560809 2.13270736 2.06420624 2.21431999
 2.23297748 2.14201569 2.11430769 2.16216154 2.10230753 2.20643953
 2.16230358 2.10561872 2.14923288 2.08108315 2.12247508 2.24036078
 2.13970513 2.19667629 2.07852255 2.26415476 2.22360763 2.2325216
 2.24475793 2.13249531 2.05821034 2.10265463 2.21017181 2.20450929
 2.23364503 2.17281131]"
ElasticNet,0.11714445683190533,0.25312567530540897,0.30407619785410495,0.3453468943300838,0.03370622630410849,"[2.12006881 2.20699237 2.19666838 2.01286634 2.20315465 2.13777817
 2.13176204 2.00908367 2.01660559 2.10042147 2.0221468  2.25884102
 2.27634666 2.11854641 2.1492323  2.21162483 1.9462369  2.32011822
 2.19949896 1.98705361 2.13633224 2.04007618 2.07797512 2.36852254
 2.024653   2.16376717 2.0330804  2.41614847 2.30650713 2.2527376
 2.39174243 2.08595831 1.91478187 2.04750458 2.2626799  2.20378624
 2.22679743 2.18827576]"
Bayesian Ridge,0.2345315743245875,0.22652743036545955,0.28314000989087984,0.48433369051381836,0.0020613262636019277,"[2.12218551 2.18876631 2.19045991 2.00820425 2.21463431 2.34511976
 2.11658234 1.98904742 1.96323557 2.08266752 2.01724644 2.31642408
 2.26161489 2.13050083 2.10676798 2.23078414 1.89781036 2.33248198
 2.20859117 1.88641124 2.12194044 2.0429815  2.1764672  2.57633322
 1.91180162 2.13834975 2.13757089 2.52811528 2.26519287 2.21439184
 2.44505006 2.10157042 1.93748242 2.00965412 2.2395516  2.24023522
 2.24493043 2.18250337]"
Huber Regressor,-1.8393987966840233,0.3102592949369414,0.5453192128368104,0.2887013871506267,0.0787693570608355,"[2.43867231 2.1557837  2.54106129 2.09681323 4.89733114 2.85806617
 1.74792029 1.9483511  2.01800391 2.04307543 1.98607574 2.58176276
 1.61810018 2.01188514 1.9953802  2.27648524 1.72742046 2.31812725
 2.05218271 1.69808092 2.3082567  2.21640564 2.27994381 2.38472422
 1.81709585 2.51763813 2.05451264 2.97351505 2.38908727 1.91295323
 2.42315807 2.17603901 1.62784234 1.78092917 2.1967988  2.33736477
 2.2920156  2.27673449]"
Random Forest,0.11937596002557205,0.25079737508647765,0.3036916636412306,0.3821675461942666,0.017893851496100593,"[2.05559202 2.22941284 2.15894264 2.03795218 2.16567916 2.18917422
 2.04402799 2.02849226 1.86456928 2.08604021 2.04274068 2.30234287
 2.4641934  2.12733265 2.13140968 2.27239098 1.86615065 2.39110917
 2.27657278 1.83908461 2.22080873 2.02716075 2.19721563 2.46197048
 1.87884408 2.33239356 2.23768856 2.48401094 2.24069626 2.25325531
 2.45204779 1.9819825  1.9071784  1.97181377 2.35304556 2.07493115
 2.30013475 2.21153359]"
