feature,correlation,p_value_raw,p_value_fdr,significant_fdr
psqi_age,0.48694029828615726,0.0019332993342878618,0.10149821505011274,False
age,0.48694029828615726,0.0019332993342878618,0.10149821505011274,False
ecg_sleep_length,0.39561447999279464,0.013952083059685845,0.36624218031675343,False
ecg_sleep_duration_hours,0.39561447999279453,0.013952083059685845,0.36624218031675343,False
DBP (mmHg),0.36828316953766693,0.0229038896804387,0.40120848867207526,False
hrv_ds_mean_rr_age_normalized,0.35539514947835243,0.02854887036465404,0.40120848867207526,False
hrv_rem_mean_rr_age_normalized,0.3536447230995917,0.029397244397304102,0.40120848867207526,False
Hb (g/L),0.35129569345176287,0.030568265803586687,0.40120848867207526,False
hrv_rs_mean_rr_age_normalized,0.3314400607278992,0.042078558830676946,0.490916519691231,False
LDL-C (mmol/L),0.3065930307098748,0.061178589537796646,0.5233784619053652,False
ecg_all_min,0.30066977389951594,0.06661844901425289,0.5233784619053652,False
TG (mmol/L),0.2963663497216271,0.07080458053126049,0.5233784619053652,False
ecg_all_range,0.2963037319585989,0.0708669809448502,0.5233784619053652,False
psqi_weight,0.29096578920910543,0.07634704138232622,0.5233784619053652,False
weight,0.28776892296134665,0.07978408028881026,0.5233784619053652,False
ecg_sleep_range,0.286515998993225,0.08116351658573719,0.5233784619053652,False
hrv_rem_rmssd,0.28175085242572256,0.08657975206117417,0.5233784619053652,False
ALT (U/L),0.2790911805713222,0.08972202204091975,0.5233784619053652,False
ecg_sleep_max,0.2703313505326722,0.10069540649015281,0.5287984875558993,False
ecg_sleep_min,0.2693230540656492,0.10202145593908832,0.5287984875558993,False
ecg_all_max,0.26653332400723234,0.10575969751117986,0.5287984875558993,False
psqi_sleep disturbances,0.2592695122807042,0.11598094190987626,0.553545404569864,False
hrv_rem_pnn50,0.2548624799094958,0.1225345359994056,0.5593967947798951,False
psqi_sleep medication,0.24345004747027313,0.14078933748720454,0.5933105266208549,False
BUN (mmol/L),0.24042326378483775,0.14595049481179836,0.5933105266208549,False
hrv_ds_rmssd,0.23986637553541262,0.1469149875442117,0.5933105266208549,False
hrv_ds_pnn50,0.23013132376415069,0.16453696497120268,0.631251258550715,False
ecg_day_min,0.22424358278108547,0.17590766855117657,0.631251258550715,False
PLT (×109/L),0.22386929314359527,0.17664901367214994,0.631251258550715,False
ecg_day_range,0.21980982279263045,0.18483307298306256,0.631251258550715,False
hrv_ds_count,0.217560939488964,0.1894808261024896,0.631251258550715,False
