Model,R²,MAE,RMSE,Correlation,p-value,Predictions
Naive (Mean),-0.0727040816326534,0.16899116872334305,0.20534139745290161,-1.0,0.0,"[2.11496261 2.10832985 2.11353385 2.12132862 2.13494889 2.12801474
 2.12908092 2.12176683 2.1118247  2.11800396 2.13017991 2.12962619
 2.11019363 2.11388571 2.13074235 2.12089571 2.11962761 2.1240424
 2.12004533 2.11460002 2.12854385 2.1118247  2.12357554 2.117219
 2.12046799 2.118403   2.11388571 2.12046799 2.13131379]"
Naive (Median),-0.027464260789366035,0.16544907413541762,0.20096476006748104,-0.818248225553787,5.8953784929215753e-08,"[2.12823171 2.12823171 2.12823171 2.13414893 2.13414893 2.13414893
 2.13414893 2.13414893 2.12823171 2.12823171 2.13414893 2.13414893
 2.12823171 2.12823171 2.13414893 2.13414893 2.12823171 2.13414893
 2.12823171 2.12823171 2.13414893 2.12823171 2.13414893 2.12823171
 2.13414893 2.12823171 2.12823171 2.13414893 2.13414893]"
Linear Regression,-1.4832911323766145,0.23524033845218603,0.3124282999044081,0.1078821173004629,0.5775014686608122,"[2.02680365 2.08727977 2.28631921 2.16012027 2.15715582 2.03830036
 2.14785523 1.98875612 2.32681878 1.55245002 1.90184062 2.13425725
 2.33431709 2.15666289 1.69135829 2.02778984 2.30794088 2.21096817
 1.95740794 2.35648358 2.75365036 1.97153698 2.01978607 2.31613829
 1.68075672 1.78530136 2.28242161 2.72888007 2.09387068]"
Ridge (α=1.0),-0.2971888330244372,0.1864026984020875,0.22580738814392265,0.3143668371662749,0.09674104686262494,"[2.05113358 2.14920057 2.26779316 2.14623079 2.12634935 2.03494148
 2.12015288 1.98920854 2.38364405 2.00612092 1.93514748 2.11236853
 2.29739065 2.15105799 1.67366631 2.01935545 2.24719407 2.21933881
 1.96023307 2.37697426 2.30536552 1.97948111 2.00754986 2.26610041
 1.89353599 1.82463285 2.25240325 2.61157362 2.09327318]"
Ridge (α=0.1),-0.6040011228246625,0.20205971918835572,0.25109547174328983,0.24765450042914777,0.19522206618985305,"[2.03364095 2.12892604 2.28519172 2.1500404  2.14134653 2.03673467
 2.13067073 1.98456845 2.36687472 1.88502103 1.90590774 2.11758999
 2.31626715 2.1511003  1.6789505  2.01302619 2.27051136 2.21557293
 1.95850866 2.3749376  2.38552983 1.96998018 2.01328634 2.28354942
 1.8124748  1.8071087  2.24992799 2.71653365 2.09538613]"
Lasso (α=0.1),-0.055596011368009624,0.16892477274874793,0.20369736778672162,-0.3979228212860825,0.03253319544150733,"[2.1188493  2.11203717 2.11649897 2.12147544 2.13229984 2.12089404
 2.12494424 2.10024079 2.11410044 2.13343429 2.12618274 2.12947352
 2.11516613 2.1168694  2.12868597 2.12532731 2.1187058  2.11227294
 2.10271006 2.12355247 2.13670445 2.11494852 2.1270703  2.11628761
 2.09844388 2.07984463 2.12099159 2.14559252 2.13259815]"
ElasticNet,0.10993542721674532,0.15795799302875246,0.18704551725063912,0.332434725143043,0.07807411467114393,"[2.10908339 2.16819635 2.1522507  2.12512396 2.11261337 2.08835156
 2.12206892 2.02787917 2.19907264 2.11742026 2.1041318  2.09882238
 2.15882377 2.15378547 2.02584957 2.11424072 2.15091098 2.11696738
 2.03173652 2.22481144 2.16910532 2.09893893 2.09799868 2.16097472
 2.06542039 1.95076448 2.21200537 2.22984267 2.13248591]"
Bayesian Ridge,0.23434525385710137,0.13912868610867218,0.173481447119989,0.48913374317336694,0.007086548000061165,"[2.11388987 2.16742813 2.17186508 2.12967651 2.08946619 2.00209723
 2.0802671  2.03924723 2.34040439 2.11534531 2.0735453  2.06829239
 2.23524441 2.15697846 1.85405637 2.1039387  2.19392622 2.18107227
 2.00203297 2.30569122 2.17394485 2.06097286 2.04207052 2.2285518
 2.00318471 1.90051859 2.25297666 2.27697088 2.07239572]"
Huber Regressor,-1.7844388735944152,0.2526618848754044,0.33083038542693854,0.0932511096503567,0.6304212139985582,"[2.24955244 2.0998557  2.32127643 2.29292961 2.14282442 2.28449871
 2.20381393 1.86619056 2.3165566  1.51996541 1.90902753 2.0788656
 2.28997726 2.19439358 1.7377989  2.00935661 2.28528318 2.40209289
 1.93074382 2.37370128 2.8285785  1.9714263  2.00284921 2.32530341
 1.62010764 1.74411208 2.37276067 2.62946063 2.00701306]"
Random Forest,0.21718606633983661,0.14653377027555073,0.1754146334834879,0.47526290547338024,0.009174654950632598,"[2.06476102 2.20421831 1.93390277 2.1676876  2.00604316 1.91933336
 1.98372636 2.03860862 2.26043929 2.24884156 2.01774111 2.11428739
 2.19649898 2.20060567 1.96889942 2.24035033 2.18904262 2.10470419
 1.95360336 2.30912897 2.22159831 2.14345384 2.07485247 2.1398206
 2.04392997 2.00456473 2.22495519 2.28311842 2.07130497]"
