feature,correlation,p_value_raw,p_value_fdr,significant_fdr
age,0.5591137546674733,0.0016162426337689054,0.08485273827286752,True
psqi_age,0.5591137546674733,0.0016162426337689054,0.08485273827286752,True
AST/ALT,0.49925316018310845,0.005830396051384366,0.20406386179845282,False
DBP (mmHg),0.4445132910905419,0.015695104668586958,0.4119964975504076,False
ALT (U/L),0.4258840882842409,0.021250803294611823,0.4462668691868483,False
Hb (g/L),0.39881509448838304,0.03211052582363845,0.5619342019136729,False
GGT (U/L),0.34941833406010964,0.06317482554373118,0.6353667586580347,False
hrv_ds_mean_rr_age_normalized,0.34765647968378666,0.0646086009572903,0.6353667586580347,False
hrv_rem_mean_rr_age_normalized,0.3437162692847384,0.06790667720389736,0.6353667586580347,False
psqi_habitual sleep efficiency,0.34174847256361107,0.0696019212305026,0.6353667586580347,False
psqi_sleep disturbances,0.3372435623713271,0.0736061539384448,0.6353667586580347,False
weight,0.32664054834499245,0.08373080040912995,0.6353667586580347,False
psqi_subjective sleep quality,0.32615430151679564,0.08421936975666812,0.6353667586580347,False
hrv_rs_mean_rr_age_normalized,0.3256626605187159,0.0847155678210713,0.6353667586580347,False
TG (mmol/L),0.3196202937248614,0.09099757965156391,0.6369830575609474,False
ecg_day_snr_estimate,0.29852753832210344,0.11571480033964299,0.754605359896435,False
hrv_ds_rmssd,0.2790554511542809,0.14265888838741655,0.754605359896435,False
ecg_day_min,0.2636896615581931,0.16692395235523608,0.754605359896435,False
psqi_PSQI score,0.2622934917235204,0.16926522428465024,0.754605359896435,False
ecg_all_min,0.2583706354304935,0.17596763844898713,0.754605359896435,False
ecg_sleep_duration_hours,0.25530579720761615,0.1813323495385235,0.754605359896435,False
ecg_sleep_length,0.2553057972076161,0.1813323495385239,0.754605359896435,False
ecg_all_range,0.25520122971907927,0.18151738167152795,0.754605359896435,False
cpc_RSP (%),0.24526372811059735,0.1997090232417408,0.754605359896435,False
WBC (×109/L),0.240701641484581,0.20846703910805656,0.754605359896435,False
height,0.2406160566439558,0.20863380793948524,0.754605359896435,False
LDL-C (mmol/L),0.2382721061606499,0.2132366619928614,0.754605359896435,False
hrv_rs_mean_hr,0.23826878694999726,0.21324322858965308,0.754605359896435,False
hrv_ds_mean_hr,0.2347701130069853,0.22024154923828998,0.754605359896435,False
ecg_day_range,0.23381016033642035,0.22218856888779767,0.754605359896435,False
hrv_ds_cv,0.2335156411072602,0.2227882491122808,0.754605359896435,False
hrv_rem_mean_hr,0.22681143137544169,0.23673496507851127,0.7621945772880171,False
ecg_all_max,0.22192459023082703,0.247260117958516,0.7621945772880171,False
ecg_sleep_min,0.21331668608471677,0.2665407564799178,0.7621945772880171,False
hrv_rem_rmssd,0.2114372433174145,0.2708766831992904,0.7621945772880171,False
BUN (mmol/L),0.2089408336786552,0.27670606230811323,0.7621945772880171,False
hrv_rs_cv,0.20888931870895053,0.2768271977799122,0.7621945772880171,False
CRP (mg/L),0.207975123440205,0.2789825619425927,0.7621945772880171,False
hrv_ds_pnn50,0.20624087120435242,0.28310084299269206,0.7621945772880171,False
UACR (mg/g),0.1988678708844665,0.30104065953392817,0.7902317312765614,False
hrv_ds_range_rr,0.1938631157429247,0.3136158397651715,0.7932934848130466,False
ecg_sleep_range,0.19241381218275613,0.3173173939252187,0.7932934848130466,False
SBP (mmHg),0.18164288254958832,0.3456673193076031,0.7943293180693102,False
hrv_rs_rmssd,0.1774268709971712,0.35716573103878685,0.7943293180693102,False
cpc_RST (hour),0.17654542869592793,0.3595980841007022,0.7943293180693102,False
hrv_rem_count,0.17386403582467447,0.36705754267497276,0.7943293180693102,False
hrv_ds_std_rr,0.1731903735503817,0.3689458180912478,0.7943293180693102,False
psqi_sleep latency,0.16957324027132345,0.37918171754235724,0.7943293180693102,False
ecg_sleep_mean,0.16734403143193247,0.3855712137585009,0.7943293180693102,False
PLT (×109/L),0.16580065679069683,0.390031034436685,0.7943293180693102,False
psqi_sleep duration,0.16307270876471297,0.39798579307144516,0.7943293180693102,False
 AST (U/L),0.16041807334690633,0.40581452823691966,0.7943293180693102,False
ecg_all_length,0.159510020872008,0.40851222072135945,0.7943293180693102,False
ecg_all_duration_hours,0.15951002087200786,0.40851222072135945,0.7943293180693102,False
hrv_rs_range_rr,0.1524743732535604,0.4297526340724304,0.8176986705472872,False
ecg_day_max,0.15040731206682667,0.4361059576252198,0.8176986705472872,False
hrv_rem_pnn50,0.1432738486323969,0.45841885550197464,0.8444557864510059,False
hrv_rem_cv,0.13989755914460988,0.4691861550913789,0.8493887290447376,False
psqi_sleep medication,0.1319950295897936,0.49489503346680375,0.8641495150095726,False
hrv_rem_duration_hours,0.13064150704891694,0.49936840749888756,0.8641495150095726,False
hrv_rs_std_rr,0.12983914879923056,0.5020297182436565,0.8641495150095726,False
hrv_ds_max_rr,0.1249645265992817,0.5183489121602824,0.8778489641424138,False
hrv_rem_range_rr,0.12092859718211377,0.5320531425885212,0.879751696019257,False
psqi_height,0.1151353199827648,0.552022029694011,0.879751696019257,False
ecg_sleep_max,0.11202653720053375,0.5628787798847739,0.879751696019257,False
hrv_rem_max_rr,0.10940839531195885,0.5720967352167187,0.879751696019257,False
UCr (g),0.10802136200098642,0.577007447883796,0.879751696019257,False
ecg_all_snr_estimate,0.10789332048828706,0.5774617143653595,0.879751696019257,False
ecg_sleep_std,0.10403540201837205,0.5912226884674727,0.879751696019257,False
hrv_rs_pnn50,0.10027643505030315,0.6047656844277708,0.879751696019257,False
cpc_ALSS (min),0.10019828611132024,0.6050486307174028,0.879751696019257,False
hrv_rs_max_rr,0.09609726686580292,0.6199744969940231,0.879751696019257,False
cpc_ALRS (min),0.09342381093355412,0.6297853035956219,0.879751696019257,False
cpc_AHI (event per hour),0.09324116077696543,0.6304578550220067,0.879751696019257,False
cpc_USP (%),0.09139136494721557,0.6372853452036773,0.879751696019257,False
hrv_rem_std_rr,0.09077044468194347,0.6395836868767898,0.879751696019257,False
psqi_weight,0.08926994761897597,0.645151243747455,0.879751696019257,False
hrv_rem_mean_rr,0.08143661709051814,0.674516319657046,0.8828275776845024,False
