Threshold,Epsilon,R²,MAE,Delta_R²,Method
None,None,-4.747576151544942,0.36035004091939243,0.0,No normalization (baseline)
55,0.05,-4.948338467444609,0.36433668099754585,-0.20076231589966653,HRV/(age/55+0.05)
55,0.1,-4.948805140157122,0.36450522874095764,-0.2012289886121792,HRV/(age/55+0.1)
55,0.15,-4.95593617935446,0.3647464459408609,-0.20836002780951723,HRV/(age/55+0.15)
55,0.2,-4.971799786060392,0.3659212629711536,-0.22422363451544935,HRV/(age/55+0.2)
60,0.05,-4.948039359535549,0.3643474113781655,-0.20046320799060702,HRV/(age/60+0.05)
60,0.1,-4.949676288790522,0.36454528022917654,-0.20210013724557996,HRV/(age/60+0.1)
60,0.15,-4.958776366900376,0.36482182269489655,-0.21120021535543376,HRV/(age/60+0.15)
60,0.2,-4.977031950211125,0.36603517006102726,-0.2294557986661827,HRV/(age/60+0.2)
65,0.05,-4.947814542363921,0.3643591097593571,-0.20023839081897865,HRV/(age/65+0.05)
65,0.1,-4.95075393781276,0.36458780271544744,-0.20317778626781724,HRV/(age/65+0.1)
65,0.15,-4.961940242564222,0.36490079440013834,-0.2143640910192799,HRV/(age/65+0.15)
65,0.2,-4.983341363475604,0.36625921246507365,-0.23576521193066124,HRV/(age/65+0.2)
70,0.05,-4.947662364441075,0.36437224045061384,-0.2000862128961325,HRV/(age/70+0.05)
70,0.1,-4.952009391080541,0.36463043753085395,-0.20443323953559833,HRV/(age/70+0.1)
70,0.15,-4.965810580158021,0.3650704782315997,-0.21823442861307818,HRV/(age/70+0.15)
70,0.2,-4.989290126150168,0.36637713738657895,-0.2417139746052257,HRV/(age/70+0.2)
75,0.05,-4.947579717202511,0.36438574663592616,-0.2000035656575685,HRV/(age/75+0.05)
75,0.1,-4.953454299198826,0.3646760868658375,-0.205878147653884,HRV/(age/75+0.1)
75,0.15,-4.973066772511299,0.3659489875995166,-0.2254906209663563,HRV/(age/75+0.15)
75,0.2,-4.996761041262257,0.3666539179704794,-0.24918488971731456,HRV/(age/75+0.2)
