feature,correlation,p_value_raw,p_value_fdr,significant_fdr
age,0.48694029828615726,0.0019332993342878611,0.09086506871152948,True
psqi_age,0.48694029828615726,0.0019332993342878611,0.09086506871152948,True
ecg_sleep_length,0.3956144799927946,0.013952083059685847,0.3278739519026174,False
ecg_sleep_duration_hours,0.3956144799927946,0.013952083059685847,0.3278739519026174,False
DBP (mmHg),0.3682831695376668,0.022903889680438688,0.35917712319214373,False
hrv_ds_mean_rr_age_normalized,0.3553951494783524,0.02854887036465404,0.35917712319214373,False
hrv_rem_mean_rr_age_normalized,0.3536447230995918,0.029397244397304095,0.35917712319214373,False
Hb (g/L),0.35129569345176287,0.0305682658035867,0.35917712319214373,False
hrv_rs_mean_rr_age_normalized,0.3314400607278992,0.042078558830676904,0.4394871700092921,False
LDL-C (mmol/L),0.30659303070987465,0.06117858953779686,0.4685483373248032,False
ecg_all_min,0.30066977389951577,0.06661844901425308,0.4685483373248032,False
TG (mmol/L),0.29636634972162695,0.07080458053126071,0.4685483373248032,False
ecg_all_range,0.2963037319585987,0.07086698094485042,0.4685483373248032,False
psqi_weight,0.2909657892091055,0.07634704138232623,0.4685483373248032,False
weight,0.2877689229613466,0.07978408028881026,0.4685483373248032,False
ecg_sleep_range,0.286515998993225,0.08116351658573717,0.4685483373248032,False
hrv_rem_rmssd,0.2817508524257224,0.08657975206117441,0.4685483373248032,False
ALT (U/L),0.2790911805713221,0.08972202204091977,0.4685483373248032,False
ecg_sleep_max,0.27033135053267215,0.10069540649015311,0.4734005507643302,False
ecg_sleep_min,0.26932305406564905,0.10202145593908868,0.4734005507643302,False
ecg_all_max,0.2665333240072321,0.10575969751118014,0.4734005507643302,False
psqi_sleep disturbances,0.2592695122807042,0.1159809419098762,0.4955549336149256,False
hrv_rem_pnn50,0.2548624799094957,0.12253453599940593,0.5007933210410503,False
psqi_sleep medication,0.243450047470273,0.14078933748720482,0.5311541857367652,False
BUN (mmol/L),0.2404232637848377,0.14595049481179845,0.5311541857367652,False
hrv_ds_rmssd,0.23986637553541257,0.14691498754421167,0.5311541857367652,False
hrv_ds_pnn50,0.23013132376415055,0.16453696497120304,0.5651201743215929,False
ecg_day_min,0.2242435827810853,0.17590766855117715,0.5651201743215929,False
PLT (×109/L),0.22386929314359522,0.17664901367214994,0.5651201743215929,False
ecg_day_range,0.2198098227926303,0.18483307298306265,0.5651201743215929,False
hrv_ds_count,0.21756093948896393,0.1894808261024897,0.5651201743215929,False
ecg_all_mean,0.21617715681658659,0.19238133593926565,0.5651201743215929,False
AST/ALT,0.21156074600436936,0.2022833226584916,0.571366516625573,False
hrv_ds_duration_hours,0.2078075627727512,0.2105916842978946,0.571366516625573,False
hrv_rem_range_rr,0.20685260216259305,0.21274285193505377,0.571366516625573,False
ecg_day_max,0.1937874850276989,0.24370646121387718,0.6363446487251238,False
height,0.18798866790023555,0.2583744986223462,0.6564108883919065,False
ecg_day_mean,0.1746402576861808,0.294326254649466,0.7280702088697317,False
hrv_rs_pnn50,0.1707237303664595,0.3054556925997204,0.7343525321212376,False
ecg_day_std,0.16829477760131836,0.31249043920052666,0.7343525321212376,False
hrv_rs_rmssd,0.16426211623459996,0.32439360084091984,0.7437316702206455,False
ecg_all_std,0.1607543902784264,0.3349740052539679,0.7497037260445949,False
hrv_rem_std_rr,0.1524672190125875,0.3608045366075333,0.7887354986304217,False
ecg_day_length,0.1392415519446715,0.4044262542600699,0.836209565464265,False
ecg_day_duration_hours,0.1392415519446715,0.4044262542600699,0.836209565464265,False
UACR (mg/g),0.13689907943577054,0.4124549469989821,0.836209565464265,False
psqi_sleep latency,0.13431505973325497,0.42141556378154743,0.836209565464265,False
hrv_rem_max_rr,0.1327200737581533,0.42700062917324166,0.836209565464265,False
hrv_rem_cv,0.12569499847898735,0.45208573576712063,0.8425092314386646,False
hrv_ds_range_rr,0.12254381827717835,0.4635916423281794,0.8425092314386646,False
hrv_rs_range_rr,0.1219285856132513,0.4658561197781313,0.8425092314386646,False
psqi_PSQI score,0.11871164190062608,0.47779191397810283,0.8425092314386646,False
psqi_sleep duration,0.11678416688824583,0.48501935932959694,0.8425092314386646,False
UCr (g),0.11354721388559422,0.49728333963823024,0.8425092314386646,False
GGT (U/L),0.11163311289860255,0.5046090541769442,0.8425092314386646,False
Lower extremity atherosclerosis or stenosis,0.10788726390372765,0.5191012870018415,0.8425092314386646,False
hrv_ds_max_rr,0.10769942694837703,0.5198333835579559,0.8425092314386646,False
psqi_habitual sleep efficiency,0.10566065107146541,0.5278122018217798,0.8425092314386646,False
ecg_sleep_std,0.10374248778309847,0.5353731692038826,0.8425092314386646,False
hrv_rs_count,0.09799504945578662,0.5583364051799373,0.8425092314386646,False
hrv_rs_duration_hours,0.09683188351330926,0.5630388331455876,0.8425092314386646,False
hrv_rs_cv,0.0965023137383231,0.5643745303623016,0.8425092314386646,False
hrv_ds_mean_rr,0.09167955347466392,0.5840854804677253,0.8425092314386646,False
hrv_rem_mean_rr,0.09133313376168514,0.5855130493866152,0.8425092314386646,False
hrv_rs_std_rr,0.09060344632786782,0.5885250990086868,0.8425092314386646,False
psqi_daytime dysfunction,0.0898725391866369,0.5915490348399135,0.8425092314386646,False
hrv_rs_max_rr,0.08764066648233995,0.6008248314860122,0.8429482710400769,False
hrv_ds_std_rr,0.0758126957474627,0.6509943152219924,0.8999039063362835,False
hrv_rem_count,0.07192078343461672,0.6678535137161605,0.9098294244828854,False
 UA (mmol/L),0.06886061380074436,0.6812238945834821,0.9147863727263903,False
