Feature,Folds_Selected,Selection_Rate,Stability
age,38,1.0,Stable
DBP (mmHg),38,1.0,Stable
Hb (g/L),38,1.0,Stable
ecg_sleep_length,38,1.0,Stable
ecg_sleep_duration_hours,38,1.0,Stable
psqi_age,38,1.0,Stable
hrv_ds_mean_rr_age_normalized,38,1.0,Stable
hrv_rem_mean_rr_age_normalized,38,1.0,Stable
hrv_rs_mean_rr_age_normalized,37,0.9736842105263158,Stable
ecg_all_min,36,0.9473684210526315,Stable
ecg_all_range,33,0.868421052631579,Stable
LDL-C (mmol/L),30,0.7894736842105263,Moderate
psqi_weight,29,0.7631578947368421,Moderate
TG (mmol/L),28,0.7368421052631579,Moderate
weight,20,0.5263157894736842,Moderate
ecg_sleep_range,16,0.42105263157894735,Unstable
hrv_rem_rmssd,8,0.21052631578947367,Unstable
ecg_sleep_max,4,0.10526315789473684,Unstable
ALT (U/L),4,0.10526315789473684,Unstable
ecg_sleep_min,2,0.05263157894736842,Unstable
psqi_sleep disturbances,2,0.05263157894736842,Unstable
hrv_ds_count,2,0.05263157894736842,Unstable
hrv_ds_rmssd,2,0.05263157894736842,Unstable
hrv_rem_pnn50,2,0.05263157894736842,Unstable
psqi_sleep medication,1,0.02631578947368421,Unstable
ecg_day_min,1,0.02631578947368421,Unstable
AST/ALT,1,0.02631578947368421,Unstable
hrv_ds_duration_hours,1,0.02631578947368421,Unstable
BUN (mmol/L),1,0.02631578947368421,Unstable
hrv_rem_max_rr,1,0.02631578947368421,Unstable
hrv_rem_range_rr,1,0.02631578947368421,Unstable
PLT (×109/L),1,0.02631578947368421,Unstable
ecg_all_mean,1,0.02631578947368421,Unstable
ecg_all_max,1,0.02631578947368421,Unstable
hrv_ds_pnn50,1,0.02631578947368421,Unstable
