Threshold,Epsilon,R²,MAE,Delta_R²,Method
None,None,-0.03540345435222836,0.16893740458411355,0.0,No normalization (baseline)
55,0.05,-0.07112396159689349,0.17276054455961348,-0.035720507244665134,HRV/(age/55+0.05)
55,0.1,-0.05536864473123693,0.1721305066533878,-0.01996519037900857,HRV/(age/55+0.1)
55,0.15,-0.04454988462167653,0.17086667457890178,-0.00914643026944817,HRV/(age/55+0.15)
55,0.2,-0.04829946405780894,0.17169557677590327,-0.01289600970558058,HRV/(age/55+0.2)
60,0.05,-0.0710778654682207,0.17276467271424925,-0.035674411115992344,HRV/(age/60+0.05)
60,0.1,-0.043248330607935426,0.17041332361443645,-0.007844876255707067,HRV/(age/60+0.1)
60,0.15,-0.035493895881235416,0.1703053990301913,-9.044152900705704e-05,HRV/(age/60+0.15)
60,0.2,-0.04807284333472572,0.17169077130386598,-0.012669388982497365,HRV/(age/60+0.2)
65,0.05,-0.0710328632761601,0.17276884550376773,-0.03562940892393174,HRV/(age/65+0.05)
65,0.1,-0.040159377521454154,0.16961564297995527,-0.004755923169225795,HRV/(age/65+0.1)
65,0.15,-0.03529892811635116,0.17030171113230724,0.00010452623587720034,HRV/(age/65+0.15)
65,0.2,-0.05069535394680247,0.1718277716000843,-0.01529189959457411,HRV/(age/65+0.2)
70,0.05,-0.06509250466771488,0.17212586761124163,-0.02968905031548652,HRV/(age/70+0.05)
70,0.1,-0.041426628921743536,0.16998288572419817,-0.006023174569515177,HRV/(age/70+0.1)
70,0.15,-0.04781251488458382,0.1713699473277513,-0.012409060532355465,HRV/(age/70+0.15)
70,0.2,-0.05028907866140053,0.1718773609848165,-0.014885624309172174,HRV/(age/70+0.2)
75,0.05,-0.06505004914719703,0.17212988435242413,-0.029646594794968673,HRV/(age/75+0.05)
75,0.1,-0.044764186945124074,0.17087193823742594,-0.009360732592895715,HRV/(age/75+0.1)
75,0.15,-0.04824149643087017,0.1716943151273333,-0.01283804207864181,HRV/(age/75+0.15)
75,0.2,-0.0491001969604119,0.1724541327086016,-0.013696742608183543,HRV/(age/75+0.2)
