feature,correlation,p_value_raw,p_value_fdr,significant_fdr
age,0.5591137546674735,0.0016162426337689027,0.07596340378713844,True
psqi_age,0.5591137546674735,0.0016162426337689027,0.07596340378713844,True
AST/ALT,0.49925316018310834,0.0058303960513843905,0.18268574294337758,False
DBP (mmHg),0.4445132910905418,0.015695104668586944,0.3688349597117932,False
ALT (U/L),0.42588408828424096,0.021250803294611827,0.3995151019387023,False
Hb (g/L),0.39881509448838315,0.03211052582363835,0.5030649045703343,False
GGT (U/L),0.34941833406010975,0.06317482554373104,0.5688045267986203,False
hrv_ds_mean_rr_age_normalized,0.3476564796837867,0.0646086009572903,0.5688045267986203,False
hrv_rem_mean_rr_age_normalized,0.3437162692847383,0.06790667720389755,0.5688045267986203,False
psqi_habitual sleep efficiency,0.341748472563611,0.06960192123050249,0.5688045267986203,False
psqi_sleep disturbances,0.3372435623713271,0.07360615393844477,0.5688045267986203,False
weight,0.32664054834499245,0.08373080040912992,0.5688045267986203,False
psqi_subjective sleep quality,0.3261543015167954,0.08421936975666829,0.5688045267986203,False
hrv_rs_mean_rr_age_normalized,0.32566266051871595,0.0847155678210711,0.5688045267986203,False
TG (mmol/L),0.31962029372486145,0.09099757965156402,0.5702514991498011,False
ecg_day_snr_estimate,0.29852753832210355,0.1157148003396426,0.6798244519954003,False
hrv_ds_rmssd,0.2790554511542808,0.14265888838741642,0.6980698472184792,False
ecg_day_min,0.2636896615581932,0.1669239523552359,0.6980698472184792,False
psqi_PSQI score,0.26229349172352046,0.16926522428465016,0.6980698472184792,False
ecg_all_min,0.2583706354304934,0.1759676384489874,0.6980698472184792,False
ecg_sleep_duration_hours,0.25530579720761615,0.18133234953852342,0.6980698472184792,False
ecg_sleep_length,0.2553057972076161,0.1813323495385242,0.6980698472184792,False
ecg_all_range,0.25520122971907927,0.18151738167152798,0.6980698472184792,False
WBC (×109/L),0.24070164148458084,0.20846703910805703,0.6980698472184792,False
height,0.24061605664395588,0.20863380793948505,0.6980698472184792,False
LDL-C (mmol/L),0.23827210616064984,0.21323666199286165,0.6980698472184792,False
hrv_rs_mean_hr,0.23826878694999737,0.21324322858965317,0.6980698472184792,False
hrv_ds_mean_hr,0.23477011300698533,0.22024154923829004,0.6980698472184792,False
ecg_day_range,0.23381016033642035,0.22218856888779764,0.6980698472184792,False
hrv_ds_cv,0.23351564110726025,0.22278824911228062,0.6980698472184792,False
hrv_rem_mean_hr,0.22681143137544169,0.23673496507851113,0.7003020852977121,False
ecg_all_max,0.22192459023082692,0.2472601179585163,0.7003020852977121,False
ecg_sleep_min,0.21331668608471677,0.2665407564799175,0.7003020852977121,False
hrv_rem_rmssd,0.21143724331741454,0.2708766831992904,0.7003020852977121,False
BUN (mmol/L),0.20894083367865524,0.2767060623081131,0.7003020852977121,False
hrv_rs_cv,0.20888931870895056,0.27682719777991216,0.7003020852977121,False
CRP (mg/L),0.20797512344020488,0.27898256194259263,0.7003020852977121,False
hrv_ds_pnn50,0.2062408712043523,0.2831008429926921,0.7003020852977121,False
UACR (mg/g),0.19886787088446656,0.30104065953392783,0.7255851793894671,False
hrv_ds_range_rr,0.19386311574292475,0.31361583976517154,0.7275081714383058,False
ecg_sleep_range,0.19241381218275616,0.3173173939252185,0.7275081714383058,False
SBP (mmHg),0.1816428825495881,0.3456673193076038,0.7384643989963017,False
hrv_rs_rmssd,0.17742687099717125,0.35716573103878624,0.7384643989963017,False
hrv_rem_count,0.1738640358246747,0.3670575426749708,0.7384643989963017,False
hrv_ds_std_rr,0.17319037355038175,0.3689458180912485,0.7384643989963017,False
psqi_sleep latency,0.1695732402713236,0.37918171754235774,0.7384643989963017,False
ecg_sleep_mean,0.1673440314319325,0.3855712137585006,0.7384643989963017,False
PLT (×109/L),0.1658006567906971,0.3900310344366844,0.7384643989963017,False
psqi_sleep duration,0.1630727087647129,0.39798579307144566,0.7384643989963017,False
 AST (U/L),0.1604180733469064,0.40581452823691955,0.7384643989963017,False
ecg_all_length,0.15951002087200816,0.4085122207213584,0.7384643989963017,False
ecg_all_duration_hours,0.15951002087200805,0.4085122207213584,0.7384643989963017,False
hrv_rs_range_rr,0.15247437325356034,0.42975263407243064,0.7591474077179753,False
ecg_day_max,0.15040731206682667,0.43610595762521986,0.7591474077179753,False
hrv_rem_pnn50,0.1432738486323968,0.4584188555019753,0.7834794984942851,False
hrv_rem_cv,0.1398975591446099,0.4691861550913782,0.7875624746176706,False
psqi_sleep medication,0.13199502958979328,0.49489503346680497,0.799843957879724,False
hrv_rem_duration_hours,0.13064150704891717,0.4993684074988861,0.799843957879724,False
hrv_rs_std_rr,0.12983914879923053,0.5020297182436565,0.799843957879724,False
hrv_ds_max_rr,0.12496452659928167,0.5183489121602834,0.812079962384444,False
hrv_rem_range_rr,0.1209285971821138,0.5320531425885207,0.819885170546245,False
psqi_height,0.11513531998276477,0.5520220296940117,0.8224454719749066,False
ecg_sleep_max,0.11202653720053377,0.5628787798847749,0.8224454719749066,False
hrv_rem_max_rr,0.10940839531195887,0.5720967352167184,0.8224454719749066,False
UCr (g),0.10802136200098612,0.5770074478837972,0.8224454719749066,False
ecg_all_snr_estimate,0.10789332048828709,0.57746171436536,0.8224454719749066,False
ecg_sleep_std,0.104035402018372,0.5912226884674724,0.8294766077006329,False
hrv_rs_pnn50,0.10027643505030306,0.6047656844277707,0.83599962259133,False
hrv_rs_max_rr,0.09609726686580289,0.6199744969940222,0.8446029379338853,False
hrv_rem_std_rr,0.09077044468194342,0.6395836868767892,0.8519258826338253,False
psqi_weight,0.08926994761897603,0.6451512437474539,0.8519258826338253,False
hrv_rem_mean_rr,0.08143661709051814,0.6745163196570458,0.8519258826338253,False
ecg_all_mean,0.07733595059374106,0.6900805887015058,0.8519258826338253,False
ecg_day_duration_hours,0.07727035120660067,0.6903306022198621,0.8519258826338253,False
ecg_day_length,0.07727035120660064,0.6903306022198621,0.8519258826338253,False
hrv_rem_min_rr,0.07556230658617097,0.6968514824077426,0.8519258826338253,False
hrv_ds_mean_rr,0.0753001593489552,0.6978541804553675,0.8519258826338253,False
hrv_ds_count,0.07287039095812853,0.7071713944178027,0.8522321932727367,False
hrv_rs_mean_rr,0.06887703122491624,0.7225740714912363,0.8597716800022305,False
ecg_day_std,0.05038527672827829,0.7952012441233685,0.9192675454912885,False
Lower extremity atherosclerosis or stenosis,0.05028236334108149,0.7956107899498913,0.9192675454912885,False
hrv_rs_duration_hours,0.044652616565100264,0.8180926039990587,0.9192675454912885,False
psqi_daytime dysfunction,0.043976444197183495,0.820802718462194,0.9192675454912885,False
hrv_rs_min_rr,0.043809255845356415,0.8214731257581727,0.9192675454912885,False
 UA (mmol/L),0.039444388820382134,0.8390179656057382,0.9278551619639928,False
HDL-C (mmol/L),0.036162323835558535,0.8522607841912697,0.9315408571392948,False
